                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     62,                0.87705,                0.96282,                 1.1977,                 0.8147,                 0.7501,                0.82874,                0.62207,                0.90997,                0.79834,                 1.1703,               0.003961,               0.003961,               0.003961
                     63,                 0.8762,                0.95894,                 1.1974,                 0.8147,                0.75105,                0.82931,                0.62234,                0.90951,                0.79729,                 1.1701,               0.003862,               0.003862,               0.003862
                     64,                0.87295,                0.95757,                 1.1958,                0.81537,                0.74972,                0.82942,                0.62286,                0.90876,                0.79659,                 1.1697,               0.003763,               0.003763,               0.003763
                     65,                0.86844,                0.95174,                 1.1933,                0.82034,                0.74683,                0.82925,                0.62283,                0.90791,                0.79555,                  1.169,               0.003664,               0.003664,               0.003664
                     66,                0.86748,                0.94435,                 1.1917,                0.82426,                0.74442,                 0.8294,                 0.6228,                0.90779,                0.79469,                 1.1687,               0.003565,               0.003565,               0.003565
                     67,                0.86144,                0.93898,                 1.1895,                0.82423,                0.74434,                0.82932,                0.62303,                 0.9077,                0.79396,                 1.1689,               0.003466,               0.003466,               0.003466
                     68,                0.85651,                0.93177,                 1.1866,                0.82308,                 0.7461,                0.82945,                0.62318,                0.90769,                0.79345,                 1.1689,               0.003367,               0.003367,               0.003367
                     69,                0.86359,                0.92541,                 1.1886,                   0.82,                0.74632,                 0.8289,                 0.6234,                0.90753,                0.79275,                 1.1687,               0.003268,               0.003268,               0.003268
                     70,                0.85763,                0.92438,                 1.1856,                0.81638,                0.74971,                0.82903,                0.62364,                0.90767,                0.79172,                 1.1688,               0.003169,               0.003169,               0.003169
                     71,                0.85545,                0.91676,                 1.1833,                 0.8146,                0.74986,                0.82883,                0.62356,                0.90748,                0.79106,                 1.1685,                0.00307,                0.00307,                0.00307
                     72,                0.84385,                0.90563,                 1.1767,                0.81339,                0.75234,                0.82884,                0.62413,                0.90757,                0.79042,                 1.1687,               0.002971,               0.002971,               0.002971
                     73,                0.85055,                0.90519,                 1.1789,                0.81403,                0.75429,                0.82897,                0.62414,                0.90752,                0.78981,                 1.1687,               0.002872,               0.002872,               0.002872
                     74,                0.84761,                0.90051,                 1.1771,                0.81338,                0.75578,                0.82889,                0.62396,                0.90763,                0.78895,                 1.1687,               0.002773,               0.002773,               0.002773
                     75,                0.84081,                0.89211,                 1.1718,                 0.8106,                0.75886,                0.82951,                0.62398,                0.90781,                0.78816,                 1.1688,               0.002674,               0.002674,               0.002674
